,Score,FGM,FGA,FGM3,FGA3,FTM,FTA,OR,DR,AST,TO,STL,BLK,PF,Games
1101_2014,63.142857142857146,20.333333333333332,50.142857142857146,6.666666666666667,17.857142857142858,15.80952380952381,21.19047619047619,8.0,20.333333333333332,10.0,7.571428571428571,5.761904761904762,1.4761904761904763,21.571428571428573,21
1101_2015,61.0,21.428571428571427,52.92857142857143,7.25,19.178571428571427,10.892857142857142,14.964285714285714,8.25,19.642857142857142,11.857142857142858,7.75,5.928571428571429,1.1785714285714286,20.607142857142858,28
1101_2016,69.85185185185185,23.814814814814813,53.925925925925924,6.851851851851852,18.85185185185185,15.37037037037037,21.74074074074074,8.185185185185185,22.51851851851852,12.88888888888889,7.814814814814815,6.7407407407407405,2.4444444444444446,22.37037037037037,27
1101_2017,67.88,24.44,53.32,7.08,19.08,11.92,18.56,7.56,22.88,13.6,9.6,7.0,2.76,22.16,25
1101_2018,70.66666666666667,25.51851851851852,56.48148148148148,6.481481481481482,19.962962962962962,13.148148148148149,18.666666666666668,9.037037037037036,23.22222222222222,13.88888888888889,9.74074074074074,7.148148148148148,3.6296296296296298,21.037037037037038,27
1101_2019,71.72413793103448,25.344827586206897,55.241379310344826,7.241379310344827,18.896551724137932,13.793103448275861,19.06896551724138,9.068965517241379,22.896551724137932,14.620689655172415,10.241379310344827,8.0,2.5517241379310347,19.137931034482758,29
1101_2020,72.77777777777777,24.59259259259259,56.074074074074076,6.481481481481482,20.59259259259259,17.11111111111111,23.037037037037038,10.037037037037036,21.814814814814813,13.592592592592593,11.62962962962963,9.0,2.6666666666666665,22.0,27
1101_2021,76.30434782608695,27.17391304347826,59.04347826086956,8.130434782608695,21.565217391304348,13.826086956521738,20.08695652173913,9.608695652173912,22.82608695652174,18.17391304347826,12.173913043478262,9.347826086956522,3.0,5.739130434782608,23
1101_2022,73.17241379310344,24.82758620689655,58.89655172413793,6.689655172413793,21.310344827586206,16.82758620689655,22.655172413793103,8.758620689655173,20.06896551724138,14.068965517241379,9.620689655172415,10.448275862068966,1.7241379310344827,22.379310344827587,29
1102_2003,57.25,19.142857142857142,39.785714285714285,7.821428571428571,20.821428571428573,11.142857142857142,17.107142857142858,4.178571428571429,16.821428571428573,13.0,7.642857142857143,5.964285714285714,1.7857142857142858,18.75,28
1102_2004,60.17857142857143,20.285714285714285,42.035714285714285,8.464285714285714,22.214285714285715,11.142857142857142,15.714285714285714,6.142857142857143,15.357142857142858,13.25,9.321428571428571,7.785714285714286,2.357142857142857,16.642857142857142,28
1102_2005,61.241379310344826,21.413793103448278,47.724137931034484,8.89655172413793,24.413793103448278,9.517241379310345,13.068965517241379,7.620689655172414,15.413793103448276,13.655172413793103,7.862068965517241,8.793103448275861,1.7241379310344827,16.482758620689655,29
1102_2006,63.5,21.928571428571427,45.57142857142857,8.607142857142858,21.678571428571427,11.035714285714286,14.785714285714286,6.785714285714286,17.785714285714285,14.178571428571429,9.214285714285714,8.0,2.107142857142857,15.392857142857142,28
1102_2007,68.5,22.8,46.93333333333333,9.066666666666666,22.466666666666665,13.833333333333334,18.2,6.466666666666667,20.866666666666667,15.033333333333333,8.533333333333333,6.266666666666667,1.4666666666666666,15.166666666666666,30
1102_2008,57.57142857142857,18.535714285714285,42.392857142857146,7.107142857142857,18.928571428571427,13.392857142857142,19.285714285714285,5.25,21.357142857142858,11.928571428571429,9.214285714285714,6.178571428571429,1.7857142857142858,17.178571428571427,28
1102_2009,57.41379310344828,19.17241379310345,44.06896551724138,6.517241379310345,17.586206896551722,12.551724137931034,18.620689655172413,6.931034482758621,20.896551724137932,11.89655172413793,8.172413793103448,5.068965517241379,2.1724137931034484,17.79310344827586,29
1102_2010,55.62068965517241,20.0,45.58620689655172,5.620689655172414,18.103448275862068,10.0,15.689655172413794,6.758620689655173,19.862068965517242,12.275862068965518,7.482758620689655,4.827586206896552,1.5172413793103448,17.551724137931036,29
1102_2011,64.25,22.428571428571427,47.857142857142854,6.678571428571429,17.75,12.714285714285714,18.142857142857142,5.857142857142857,22.428571428571427,15.428571428571429,8.571428571428571,6.214285714285714,2.5357142857142856,17.428571428571427,28
1102_2012,60.666666666666664,20.88888888888889,47.0,6.2592592592592595,18.77777777777778,12.62962962962963,18.51851851851852,5.851851851851852,22.296296296296298,13.37037037037037,9.444444444444445,6.2592592592592595,2.962962962962963,17.0,27
1102_2013,68.92857142857143,24.392857142857142,51.785714285714285,8.321428571428571,21.857142857142858,11.821428571428571,16.25,6.857142857142857,22.178571428571427,15.5,9.035714285714286,6.214285714285714,1.7142857142857142,17.607142857142858,28
1102_2014,64.57142857142857,22.071428571428573,51.82142857142857,7.142857142857143,21.714285714285715,13.285714285714286,19.25,8.714285714285714,22.857142857142858,13.392857142857142,9.321428571428571,5.285714285714286,2.9642857142857144,18.892857142857142,28
1102_2015,64.72413793103448,23.620689655172413,50.758620689655174,7.172413793103448,20.24137931034483,10.310344827586206,15.655172413793103,8.793103448275861,20.79310344827586,14.89655172413793,8.137931034482758,6.310344827586207,1.9655172413793103,17.82758620689655,29
1102_2016,67.43333333333334,23.233333333333334,55.03333333333333,6.3,18.866666666666667,14.666666666666666,21.766666666666666,8.8,25.5,13.033333333333333,9.233333333333333,6.1,1.6666666666666667,19.333333333333332,30
1102_2017,71.54838709677419,24.225806451612904,56.61290322580645,7.935483870967742,21.870967741935484,15.161290322580646,21.161290322580644,9.451612903225806,25.258064516129032,14.483870967741936,8.258064516129032,5.903225806451613,1.8064516129032258,17.903225806451612,31
1102_2018,66.6896551724138,22.75862068965517,56.10344827586207,7.931034482758621,24.413793103448278,13.241379310344827,17.93103448275862,9.827586206896552,22.689655172413794,13.89655172413793,7.724137931034483,6.448275862068965,2.6206896551724137,18.137931034482758,29
1102_2019,67.38709677419355,24.741935483870968,55.32258064516129,7.258064516129032,22.419354838709676,10.64516129032258,15.64516129032258,7.741935483870968,25.548387096774192,13.290322580645162,9.516129032258064,4.806451612903226,1.8064516129032258,16.967741935483872,31
1102_2020,72.2258064516129,24.838709677419356,55.096774193548384,8.580645161290322,23.225806451612904,13.96774193548387,19.29032258064516,7.419354838709677,24.741935483870968,14.483870967741936,8.612903225806452,4.967741935483871,1.2258064516129032,16.870967741935484,31
1102_2021,58.72,20.88,46.8,6.96,21.08,10.0,14.44,3.56,17.2,12.32,7.32,7.08,2.48,4.92,25
1102_2022,59.03448275862069,21.620689655172413,49.55172413793103,7.172413793103448,21.551724137931036,8.620689655172415,13.275862068965518,4.896551724137931,19.17241379310345,12.482758620689655,7.758620689655173,5.448275862068965,3.0344827586206895,18.03448275862069,29
1103_2003,78.77777777777777,27.14814814814815,55.851851851851855,5.444444444444445,16.074074074074073,19.037037037037038,25.85185185185185,9.777777777777779,19.925925925925927,15.222222222222221,9.333333333333334,7.2592592592592595,2.3333333333333335,19.85185185185185,27
1103_2004,71.75,24.857142857142858,53.285714285714285,6.178571428571429,17.035714285714285,15.857142857142858,24.571428571428573,11.214285714285714,22.357142857142858,15.107142857142858,10.678571428571429,7.392857142857143,2.5357142857142856,19.464285714285715,28
1103_2005,71.60714285714286,24.785714285714285,55.785714285714285,8.142857142857142,21.357142857142858,13.892857142857142,20.357142857142858,10.285714285714286,23.071428571428573,16.107142857142858,11.035714285714286,6.75,3.857142857142857,18.821428571428573,28
