Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF
2003,10,1104,68,1328,62,N,0,27,58,3,14,11,18,14,24,13,23,7,1,22,22,53,2,10,16,22,10,22,8,18,9,2,20
2003,10,1272,70,1393,63,N,0,26,62,8,20,10,19,15,28,16,13,4,4,18,24,67,6,24,9,20,20,25,7,12,8,6,16
2003,11,1266,73,1437,61,N,0,24,58,8,18,17,29,17,26,15,10,5,2,25,22,73,3,26,14,23,31,22,9,12,2,5,23
2003,11,1296,56,1457,50,N,0,18,38,3,9,17,31,6,19,11,12,14,2,18,18,49,6,22,8,15,17,20,9,19,4,3,23
2003,11,1400,77,1208,71,N,0,30,61,6,14,11,13,17,22,12,14,4,4,20,24,62,6,16,17,27,21,15,12,10,7,1,14
2003,11,1458,81,1186,55,H,0,26,57,6,12,23,27,12,24,12,9,9,3,18,20,46,3,11,12,17,6,22,8,19,4,3,25
2003,12,1161,80,1236,62,H,0,23,55,2,8,32,39,13,18,14,17,11,1,25,19,41,4,15,20,28,9,21,11,30,10,4,28
2003,12,1186,75,1457,61,N,0,28,62,4,14,15,21,13,35,19,19,7,2,21,20,59,4,17,17,23,8,25,10,15,14,8,18
2003,12,1194,71,1156,66,N,0,28,58,5,11,10,18,9,22,9,17,9,2,23,24,52,6,18,12,27,13,26,13,25,8,2,18
2003,12,1458,84,1296,56,H,0,32,67,5,17,15,19,14,22,11,6,12,0,13,23,52,3,14,7,12,9,23,10,18,1,3,18
2003,13,1166,106,1426,50,H,0,41,69,15,25,9,13,15,29,21,11,10,6,16,17,52,4,11,12,17,8,15,8,17,7,3,15
2003,13,1202,74,1106,73,N,0,29,51,7,13,9,11,6,21,18,15,7,1,5,29,63,10,22,5,5,13,16,15,12,6,2,12
2003,13,1237,66,1135,65,N,0,26,66,5,19,9,13,21,23,15,17,12,3,17,24,56,6,19,11,17,14,21,17,18,8,4,13
2003,13,1323,76,1125,48,H,0,25,56,10,23,16,23,8,35,18,13,14,19,13,18,64,8,24,4,8,14,26,12,17,10,0,17
2003,14,1125,83,1135,77,N,1,30,70,11,31,12,15,15,18,22,16,18,5,21,28,60,4,15,17,27,20,27,17,24,7,7,19
2003,14,1156,78,1236,71,N,0,27,46,10,18,14,24,8,25,18,15,2,6,18,23,50,7,20,18,24,6,17,21,11,5,1,21
2003,14,1161,81,1194,56,H,0,22,48,5,12,32,43,16,32,13,24,5,3,19,21,65,2,13,12,19,16,18,10,16,15,3,36
2003,14,1166,82,1202,57,H,0,33,61,8,19,8,14,9,23,21,17,14,5,18,23,55,2,11,9,14,13,23,9,26,8,4,18
2003,14,1183,73,1129,59,A,0,29,59,9,19,6,8,8,21,17,15,10,1,19,21,51,3,14,14,18,12,22,10,23,4,5,14
